RefSoil_ID,CDS_count,Coding Density,rRNA_count,Membrane_trans_count,Membrane_trans_density,TranscriptionFactor_Count,TranscriptionFactor_density,MAC_count,MAC_density,AntiBioticRelated_Count,AntiBioticRelated_Density,G/C Content,Genome_Size
RefSoil_1,4337,0.0009228301628645227,14,0,0.0,0,0.0,4,0.0009222965183306433,2,0.0004611482591653217,0.5016366032275011,4699673
RefSoil_2,857,0.0007614948401393971,2,17,0.019836639439906652,3,0.003500583430571762,0,0.0,0,0.0,0.28642246703002794,1125418
RefSoil_3,4240,0.0009933692601882434,20,0,0.0,0,0.0,11,0.0025943396226415093,16,0.0037735849056603774,0.42977183901232857,4268302
RefSoil_4,3149,0.00094832402024336,6,28,0.00889171165449349,12,0.003810733566211496,3,0.000952683391552874,7,0.0022229279136233727,0.6584509703833199,3320595
RefSoil_5,2462,0.0008901265013653789,4,38,0.015434606011372868,27,0.010966693744922826,1,0.00040617384240454913,2,0.0008123476848090983,0.5196762426972207,2765899
RefSoil_6,5833,0.0009201553458217643,2,96,0.0164580833190468,62,0.010629178810217728,22,0.0037716440939482257,2,0.0003428767358134751,0.657242843556081,6339147
RefSoil_7,4072,0.0009570183144914477,16,47,0.011542239685658153,37,0.009086444007858546,12,0.0029469548133595285,10,0.002455795677799607,0.4314617890695911,4254882
RefSoil_8,1542,0.0009731973129151236,2,47,0.0304798962386511,9,0.005836575875486381,0,0.0,1,0.0006485084306095979,0.4542654064329478,1584468
RefSoil_9,7391,0.0009609620073509498,4,200,0.027059937762143146,208,0.028142335272628872,2,0.00027059937762143147,8,0.0010823975104857259,0.6173628971411803,7691251
RefSoil_10,1602,0.0009983703255921203,2,44,0.02746566791510612,4,0.0024968789013732834,0,0.0,1,0.0006242197253433209,0.39425656621681837,1604615
RefSoil_11,5026,0.0009297216624962379,6,89,0.01770791882212495,51,0.010147234381217668,9,0.0017906884202148826,3,0.0005968961400716276,0.6723656051820236,5405919
RefSoil_12,1529,0.0010274902358187532,2,6,0.003924133420536298,13,0.008502289077828646,0,0.0,1,0.0006540222367560497,0.4824715138580142,1488092
